360	0.000000122200	0.000000013398	0.000000535027	0.18222	0.01998	0.79780
361	0.000000185138	0.000000020294	0.000000810720	0.18220	0.01997	0.79783
362	0.00000027883	0.00000003056	0.00000122120	0.18217	0.01997	0.79786
363	0.00000041747	0.00000004574	0.00000182870	0.18215	0.01996	0.79789
364	0.00000062133	0.00000006805	0.00000272220	0.18212	0.01995	0.79793
365	0.00000091927	0.00000010065	0.00000402830	0.18210	0.01994	0.79796
366	0.00000135198	0.00000014798	0.00000592570	0.18207	0.01993	0.79800
367	0.00000197654	0.00000021627	0.00000866510	0.18204	0.01992	0.79804
368	0.0000028725	0.0000003142	0.0000125960	0.18200	0.01991	0.79809
369	0.0000041495	0.0000004537	0.0000182010	0.18196	0.01990	0.79814
370	0.0000059586	0.0000006511	0.0000261437	0.18192	0.01988	0.79820
371	0.0000085056	0.0000009288	0.0000373300	0.18188	0.01986	0.79826
372	0.0000120686	0.0000013175	0.0000529870	0.18183	0.01985	0.79832
373	0.0000170226	0.0000018572	0.0000747640	0.18178	0.01983	0.79839
374	0.000023868	0.000002602	0.000104870	0.18173	0.01981	0.79846
375	0.000033266	0.000003625	0.000146220	0.18167	0.01980	0.79853
376	0.000046087	0.000005019	0.000202660	0.18161	0.01978	0.79861
377	0.000063472	0.000006907	0.000279230	0.18155	0.01976	0.79869
378	0.000086892	0.000009449	0.000382450	0.18148	0.01974	0.79878
379	0.000118246	0.000012848	0.000520720	0.18141	0.01971	0.79888
380	0.000159952	0.000017364	0.000704776	0.18133	0.01969	0.79898
381	0.000215080	0.000023327	0.000948230	0.18125	0.01966	0.79909
382	0.00028749	0.00003115	0.00126820	0.18117	0.01963	0.79920
383	0.00038199	0.00004135	0.00168610	0.18109	0.01960	0.79931
384	0.00050455	0.00005456	0.00222850	0.18100	0.01957	0.79943
385	0.00066244	0.00007156	0.00292780	0.18091	0.01954	0.79955
386	0.00086450	0.00009330	0.00382370	0.18080	0.01951	0.79969
387	0.00112150	0.00012087	0.00496420	0.18070	0.01947	0.79983
388	0.00144616	0.00015564	0.00640670	0.18058	0.01943	0.79999
389	0.00185359	0.00019920	0.00821930	0.18045	0.01939	0.80016
390	0.0023616	0.0002534	0.0104822	0.18031	0.01935	0.80034
391	0.0029906	0.0003202	0.0132890	0.18016	0.01929	0.80055
392	0.0037645	0.0004024	0.0167470	0.18000	0.01924	0.80076
393	0.0047102	0.0005023	0.0209800	0.17983	0.01919	0.80099
394	0.0058581	0.0006232	0.0261270	0.17965	0.01911	0.80124
395	0.0072423	0.0007685	0.0323440	0.17947	0.01904	0.80149
396	0.0088996	0.0009417	0.0398020	0.17927	0.01897	0.80176
397	0.0108709	0.0011478	0.0486910	0.17906	0.01891	0.80203
398	0.0131989	0.0013903	0.0592100	0.17885	0.01884	0.80231
399	0.0159292	0.0016740	0.0715760	0.17862	0.01877	0.80261
400	0.0191097	0.0020044	0.0860109	0.17839	0.01871	0.80290
401	0.022788	0.002386	0.102740	0.17815	0.01865	0.80320
402	0.027011	0.002822	0.122000	0.17790	0.01859	0.80351
403	0.031829	0.003319	0.144020	0.17765	0.01852	0.80383
404	0.037278	0.003880	0.168990	0.17739	0.01846	0.80415
405	0.043400	0.004509	0.197120	0.17712	0.01840	0.80448
406	0.050223	0.005209	0.228570	0.17684	0.01834	0.80482
407	0.057764	0.005985	0.263470	0.17653	0.01829	0.80518
408	0.066038	0.006833	0.301900	0.17621	0.01823	0.80556
409	0.075033	0.007757	0.343870	0.17586	0.01818	0.80596
410	0.084736	0.008756	0.389366	0.17549	0.01813	0.80638
411	0.095041	0.009816	0.437970	0.17509	0.01808	0.80683
412	0.105836	0.010918	0.489220	0.17465	0.01802	0.80733
413	0.117066	0.012058	0.542900	0.17420	0.01794	0.80786
414	0.128682	0.013237	0.598810	0.17372	0.01787	0.80841
415	0.140638	0.014456	0.656760	0.17323	0.01781	0.80896
416	0.152893	0.015717	0.716580	0.17272	0.01776	0.80952
417	0.165416	0.017025	0.778120	0.17221	0.01772	0.81007
418	0.178191	0.018399	0.841310	0.17168	0.01773	0.81059
419	0.191214	0.019848	0.906110	0.17116	0.01777	0.81107
420	0.204492	0.021391	0.972542	0.17063	0.01785	0.81152
